source_text,translated_text,context
Check Spelling,التحقق من الإملاء,Action
No spelling errors found,لم يتم العثور على أخطاء إملائية,Message
spelling errors found,أخطاء إملائية,Count
Broken links found,روابط معطلة,Count
All links are valid,جميع الروابط صالحة,Message
Word Count,عدد الكلمات,Metric
Character Count,عدد الأحرف,Metric
Reading Time,وقت القراءة,Metric
Estimated reading time,وقت القراءة التقديري,Label
min read,دقيقة قراءة,Unit
words,كلمات,Unit
characters,أحرف,Unit
Template,قالب,Feature
Use Template,استخدام قالب,Action
Save as Template,حفظ كقالب,Action
Blank,فارغ,Template
Basic Topic,موضوع أساسي,Template
FAQ Entry,إدخال أسئلة شائعة,Template
Tutorial,درس تعليمي,Template
Quick Tip,نصيحة سريعة,Template
Reference Guide,دليل مرجعي,Template
API Documentation,توثيق API,Template
Workflow Guide,دليل سير العمل,Template
Troubleshooting,استكشاف الأخطاء,Template
Release Notes,ملاحظات الإصدار,Template
Changelog,سجل التغييرات,Template
Migration Guide,دليل الترحيل,Template
Best Practices,أفضل الممارسات,Template
Security Advisory,نصيحة أمنية,Template
